,local_event_id,from_date,to_date,latitude,longitude,radius,sectors,impact,event_type,remarks,full_address,country,state,city,road,postal_code,nearby_places,is_active,subSectors,creator_name,districts,approval,approvedBy
0,89,2025-03-05,2025-03-08,6.9389,79.8542,7.61,AGRICULTURE,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,b'[]',1,Not Found,LK04564,,,
1,90,2025-03-05,2025-03-08,6.9389,79.8542,7.61,AGRICULTURE,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,b'[]',1,Not Found,LK04564,,,
2,91,2025-03-05,2025-03-08,8.754,80.4936,0.78,AGRICULTURE,Highly Positive,social event,System Generated,"Vavuniya, Outer Circular Road, Vavuniya, Vavuniya District, Northern Province, 43000, Sri Lanka",Sri Lanka,Northern Province,"""Vavuniya""",Outer Circular Road,43000.0,b'[]',1,Not Found,LK04564,,,
3,92,2025-03-05,2025-03-08,8.762,80.4938,0.02,AGRICULTURE,Highly Positive,social event,System Generated,"GS Office Vavuniya South, Vavuniya - Parayanalankulam, Vavuniya, Vavuniya District, Northern Province, 43000, Sri Lanka",Sri Lanka,Northern Province,"""Vavuniya""",Vavuniya - Parayanalankulam,43000.0,b'[]',1,Not Found,LK04564,,,
4,93,2025-03-05,2025-03-08,6.9389,79.8542,7.61,INDUSTRIAL,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,b'[]',1,Not Found,LK04564,,,
5,94,2025-03-05,2025-03-08,7.0794,79.8908,6.25,INDUSTRIAL,Highly Positive,infrastructure event,System Generated,"Ja-ela Market, Silva Road, Highway Access Junction Ja-Ela, Ja-ela, Gampaha District, Western Province, 11350, Sri Lanka",Sri Lanka,Western Province,"""Ja-ela""",Silva Road,11350.0,b'[]',1,Not Found,LK04564,,,
6,95,2025-03-05,2025-03-08,6.9389,79.8542,7.61,INDUSTRIAL,Highly Positive,infrastructure event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,b'[]',1,Not Found,LK04564,,,
7,96,2025-03-05,2025-03-08,6.9321,79.8449,0.07,COMMERCIAL-WHOLESALE & RETAILS,Highly Positive,social event,System Generated,"Cury Leaf, Lotus Road, L B Gate, Fort, Slave Island, Colombo, Colombo District, Western Province, 10110, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Lotus Road,10110.0,b'[]',1,Not Found,LK04564,,,
8,97,2025-03-05,2025-03-08,6.9207,79.8563,0.06,COMMERCIAL-WHOLESALE & RETAILS,Highly Positive,social event,System Generated,"Hilton Colombo Residences, 200, Union Place, Ibbanwala Junction, Hunupitiya, Slave Island, Colombo, Colombo District, Western Province, 00200, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Union Place,200.0,b'[]',1,Not Found,LK04564,,,
9,98,2025-03-05,2025-03-08,6.2821,81.2324,0.18,COMMERCIAL-WHOLESALE & RETAILS,Highly Positive,social event,System Generated,"DoubleTree by Hilton Weerawila Rajawarna Resort, Colombo - Galle - Hambantota - Wellawaya Road, Weerawila, Hambantota District, Southern Province, 82632, Sri Lanka",Sri Lanka,Southern Province,"""Weerawila""",Colombo - Galle - Hambantota - Wellawaya Road,82632.0,b'[]',1,Not Found,LK04564,,,
10,99,2025-03-05,2025-03-08,6.9389,79.8542,7.61,COMMERCIAL-WHOLESALE & RETAILS,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,b'[]',1,Not Found,LK04564,,,
11,100,2025-03-05,2025-03-08,6.9284,79.8445,0.04,INFORMATION TECHNOLOGY & COMMUNICATION,Highly Positive,social event,System Generated,"One Galle Face, 1A, Center Road, Kompannaweediya, Slave Island, Colombo, Colombo District, Western Province, 00100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Center Road,100.0,b'[]',1,Not Found,LK04564,,,
12,101,2025-03-05,2025-03-08,6.9389,79.8542,7.61,AGRICULTURE,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,b'[]',1,Not Found,LK04564,,,
13,102,2025-03-05,2025-03-08,7.3004,80.3863,3.13,TOURISM,Positive,social event,System Generated,"Pinnawala, Kegalle District, Sabaragamuwa Province, 71100, Sri Lanka",Sri Lanka,Sabaragamuwa Province,"""Pinnawala""",Not found,71100.0,b'[]',1,Not Found,LK04564,,,
14,103,2025-03-05,2025-03-08,6.9343,79.8448,2.96,TOURISM,Highly Negative,infrastructure event,System Generated,"York Street, L B Gate, Fort, Slave Island, Colombo, Colombo District, Western Province, 10110, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",York Street,10110.0,b'[]',1,Not Found,LK04564,,,
15,104,2025-03-05,2025-03-08,6.9389,79.8542,1000.0,AGRICULTURE,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,"b'[""L B Gate"", ""Gintupitiya"", ""Kochchikade"", ""Masangasweediya"", ""Aluthkade"", ""Kehelwatte"", ""St. Bastian""]'",1,Not Found,systemUser,,,
16,105,2025-03-05,2025-03-08,8.7594,80.5001,1000.0,AGRICULTURE,Highly Positive,social event,System Generated,"Kandy - Jaffna Road, Vavuniya, Vavuniya District, Northern Province, 43000, Sri Lanka",Sri Lanka,Northern Province,"""Vavuniya""",Kandy - Jaffna Road,43000.0,b'[]',1,Not Found,systemUser,,,
17,106,2025-03-05,2025-03-08,8.762,80.4938,1000.0,AGRICULTURE,Highly Positive,social event,System Generated,"GS Office Vavuniya South, Vavuniya - Parayanalankulam, Vavuniya, Vavuniya District, Northern Province, 43000, Sri Lanka",Sri Lanka,Northern Province,"""Vavuniya""",Vavuniya - Parayanalankulam,43000.0,b'[]',1,Not Found,systemUser,,,
18,107,2025-03-05,2025-03-08,6.9389,79.8542,1000.0,INDUSTRIAL,Highly Positive,social event,System Generated,"Gas Paha Junction, Kochchikade, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Sri Lanka,Western Province,"""Colombo""",Not found,1100.0,"b'[""L B Gate"", ""Gintupitiya"", ""Kochchikade"", ""Masangasweediya"", ""Aluthkade"", ""Kehelwatte"", ""St. Bastian""]'",1,Not Found,systemUser,,,
